title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,8.2,1.66,0.12,1.58,0.18,3.54
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,8.3,1.56,0.07,1.4,0.5,3.54
Battlefield 4,X360,Shooter,Electronic Arts,8.7,2.16,0.02,1.05,0.32,3.54
Batman: Arkham Asylum,X360,Action,Eidos Interactive,9.1,2.24,0.02,0.95,0.33,3.54
Resident Evil 5,X360,Action,Capcom,8.6,2.13,0.12,0.93,0.34,3.53
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,9.1,2.87,0.03,0.39,0.25,3.53
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,7.9,1.98,0.01,1.14,0.41,3.53
James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts,,1.9,0.1,1.13,0.41,3.53
Rugrats in Paris: The Movie,PS,Action,THQ,,1.96,,1.33,0.23,3.52
FIFA Soccer 11,X360,Sports,EA Sports,8.7,0.71,0.02,2.39,0.4,3.52
NBA 2K17,PS4,Sports,2K Sports,9,2.28,0.03,0.59,0.63,3.52
Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,,1.94,,0.94,0.61,3.49
FIFA Soccer 2004,PS2,Sports,EA Sports,8,0.59,0.04,2.36,0.51,3.49
Borderlands,X360,Shooter,2K Games,8.3,2.43,0.03,0.72,0.3,3.48
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,9,2.11,0.04,1.01,0.33,3.48
Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega,7.6,1.21,0.27,1.63,0.37,3.47
Guitar Hero: On Tour,DS,Misc,Activision,7.1,2.1,0.01,1.01,0.35,3.46
Tekken 4,PS2,Fighting,Namco,7.9,1.55,0.33,1.27,0.29,3.44
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,7.5,2.07,,1.04,0.34,3.44
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,8.8,2.06,0.03,1.04,0.31,3.44
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,9.1,1.83,0.06,1.07,0.47,3.43
FIFA 14,PS4,Sports,EA Sports,,0.62,0.12,2.18,0.51,3.43
Grand Theft Auto 2,PS,Action,Rockstar Games,6.9,1.13,,2.07,0.22,3.42
Destiny,XOne,Shooter,Activision,8.3,2.17,,0.92,0.32,3.41
Spider-Man 2,PS2,Action,Activision,7.9,1.75,0.02,1.2,0.43,3.41
FIFA Soccer 2003,PS2,Sports,EA Sports,,0.46,0.05,2.28,0.61,3.4
Crash Bash,PS,Misc,Sony Computer Entertainment,6.8,1.56,0.19,1.47,0.17,3.39
Gears of War 4,XOne,Shooter,Microsoft Studios,,2.17,,0.9,0.32,3.38
The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,Bethesda Softworks,8.3,1.24,0.08,1.5,0.54,3.36
Watch Dogs 2,PS4,Action,Ubisoft,,0.98,0.12,1.74,0.52,3.36
WWF War Zone,PS,Fighting,Acclaim Entertainment,,2.47,,0.76,0.13,3.36
Assassin's Creed IV: Black Flag,X360,Action-Adventure,Ubisoft,8.5,1.9,0.01,1.14,0.3,3.34
NBA 2K18,PS4,Sports,2K Sports,8.1,2.13,0.04,0.57,0.59,3.34
James Bond 007: Nightfire,PS2,Shooter,Electronic Arts,,1.45,0.12,1.29,0.46,3.33
Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts,,1.47,0.03,1.39,0.43,3.32
Max Payne,PS2,Shooter,Rockstar Games,8.1,1.99,0.05,1.05,0.22,3.31
Madden NFL 16,PS4,Sports,EA Sports,8.2,2.39,,0.31,0.61,3.3
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,8.4,1.5,0.05,1.28,0.46,3.28
Madden NFL 17,PS4,Sports,EA Sports,8.5,2.3,,0.37,0.6,3.28
Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment,,0.51,0.31,1.59,0.86,3.27
Far Cry 3,PS3,Shooter,Ubisoft,,0.88,0.1,1.79,0.5,3.27
True Crime: Streets of LA,PS2,Action,Activision,,1.89,0.02,1.05,0.31,3.27
FIFA 16,XOne,Sports,EA Sports,8.5,0.92,,2.1,0.24,3.25
L.A. Noire,PS3,Adventure,Rockstar Games,9.1,1.29,0.12,1.31,0.49,3.21
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,6.2,1.72,,1.33,0.16,3.21
WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ,8.7,1.76,0.07,1.21,0.16,3.2
Assassin's Creed IV: Black Flag,PS4,Action-Adventure,Ubisoft,8.3,1.07,0.06,1.55,0.51,3.19
Enter the Matrix,PS2,Action,Atari,,1.78,0.09,1.12,0.19,3.18
Assassin's Creed Odyssey,PS4,Action-Adventure,Ubisoft,9.5,1.18,0.09,1.4,0.51,3.18
Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks,8.2,1.54,0.1,1.04,0.49,3.17
FIFA Soccer 08,PS2,Sports,EA Sports,,0.68,,0,2.46,3.14
Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios,7,1.87,,0.97,0.3,3.14
FIFA 18,XOne,Sports,EA Sports,8,0.98,,1.92,0.23,3.14
Spider-Man,PS,Action,Activision,,1.7,0.02,1.25,0.16,3.13
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Bethesda Softworks,9.3,1.69,0.14,0.86,0.44,3.12
Resident Evil 6,PS3,Action,Capcom,,0.88,0.88,0.97,0.39,3.12
Need for Speed III: Hot Pursuit,PS,Racing,Electronic Arts,,2.14,,0.86,0.13,3.12
Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,Ubisoft,7,1.07,0.22,1.35,0.47,3.12
Titanfall,XOne,Shooter,Electronic Arts,,1.88,0.04,0.91,0.28,3.11
NBA 2K13,X360,Sports,2K Sports,8.6,2.62,0.01,0.21,0.28,3.11
Mass Effect 2,X360,Role-Playing,Electronic Arts,9.5,1.99,0.03,0.81,0.27,3.1
LEGO Batman: The Videogame,Wii,Adventure,Warner Bros. Interactive,7.3,1.8,,0.98,0.29,3.08
Madden NFL 2002,PS2,Sports,EA Sports,,2.5,0.01,0.16,0.42,3.08
Saints Row 2,X360,Action,THQ,7.9,1.98,0.02,0.79,0.28,3.07
Call of Duty: Ghosts,XOne,Shooter,Activision,7.5,1.92,,0.86,0.28,3.07
The Sims: Vacation,PC,Simulation,Electronic Arts,,1.72,,1.21,0.14,3.07
Borderlands 2,X360,Shooter,2K Games,,1.89,0.04,0.88,0.26,3.06
LEGO Batman: The Videogame,DS,Adventure,Warner Bros. Interactive,7.8,1.75,,1.02,0.29,3.06
